D4-Q#,Status,Issue,Fix
Q1,✅ Approved,,
Q2,✅ Approved,,
Q3,✅ Approved,,
Q4,✅ Approved,,
Q5,✅ Approved,,
Q6,✅ Approved,,
Q7,📝 Typo,"'progress loss' in stem","→ 'progressive loss'"
Q8,✅ Approved,,
Q9,📝 Typo,"Option 1 reads 'Option Anaphylaxis' — leftover formatting prefix","→ 'Anaphylaxis'"
Q10,✅ Approved,,
Q11,✅ Approved,,
Q12,📝 Typo,"'Nigh shade vegetables' in option 1","→ 'Nightshade vegetables'"
Q13,✅ Approved,,
Q14,✅ Approved,,
Q15,✅ Approved,,
Q16,📝 Typo,"'well support for reducing' in stem","→ 'well supported for reducing'"
Q17,🟡 Ambiguous,"'can support infections' literally means helping infections; should say 'can help fight infections'","Reword: 'can support the body against infections'"
Q18,✅ Approved,,
Q19,📝 Typo,"'while is appears' in stem","→ 'while it appears'"
Q20,✅ Approved,,
Q21,✅ Approved,,
Q22,✅ Approved,,
Q23,✅ Approved,,
Q24,✅ Approved,,
Q25,✅ Approved,,
Q26,✅ Approved,,
Q27,✅ Approved,,
Q28,✅ Approved,,
Q29,✅ Approved,,
Q30,✅ Approved,,
Q31,✅ Approved,,
Q32,✅ Approved,,
Q33,✅ Approved,,
Q34,✅ Approved,,
Q35,✅ Approved,,
Q36,✅ Approved,,
Q37,✅ Approved,,
Q38,📝 Typo,"'What is the primary symptoms' — subject-verb disagreement","→ 'What are the primary symptoms' or 'What is the primary symptom'"
Q39,✅ Approved,,
Q40,✅ Approved,,
Q41,✅ Approved,,
Q42,✅ Approved,,
Q43,✅ Approved,,
Q44,✅ Approved,,
Q45,✅ Approved,,
Q46,✅ Approved,,
Q47,✅ Approved,,
Q48,✅ Approved,,
Q49,✅ Approved,,
Q50,✅ Approved,,
Q51,✅ Approved,,
Q52,✅ Approved,,
Q53,✅ Approved,,
Q54,✅ Approved,,
Q55,✅ Approved,,
Q56,✅ Approved,,
Q57,✅ Approved,,
Q58,✅ Approved,,
Q59,✅ Approved,,
Q60,✅ Approved,,
Q61,✅ Approved,,
Q62,✅ Approved,,
Q63,✅ Approved,,
Q64,✅ Approved,,
Q65,✅ Approved,,
Q66,✅ Approved,,
Q67,✅ Approved,,
Q68,✅ Approved,,
Q69,✅ Approved,,
Q70,✅ Approved,,
Q71,📝 Typo,"'Mmilk' in option 1","→ 'Milk'"
Q72,✅ Approved,,
Q73,✅ Approved,,
Q74,✅ Approved,,
Q75,✅ Approved,,
Q76,✅ Approved,,
Q77,✅ Approved,,
Q78,✅ Approved,,
Q79,📝 Typo,"'the follow will not' in stem","→ 'the following will not'"
Q80,✅ Approved,,
Q81,✅ Approved,,
Q82,✅ Approved,,
Q83,✅ Approved,,
Q84,✅ Approved,,
Q85,✅ Approved,,
Q86,✅ Approved,,
Q87,✅ Approved,,
Q88,✅ Approved,,
Q89,✅ Approved,,
Q90,✅ Approved,,
Q91,📝 Typo (x2),"'more that 2 times' + 'the follow recommendations'","→ 'more than 2 times' + 'the following recommendations'"
Q92,📝 Typo,"'A diet free or stimulants'","→ 'A diet free of stimulants'"
Q93,✅ Approved,,
Q94,✅ Approved,,
Q95,✅ Approved,,
Q96,✅ Approved,,
Q97,✅ Approved,,
Q98,✅ Approved,,
Q99,✅ Approved,,
Q100,✅ Approved,,
Q101,✅ Approved,,
Q102,✅ Approved,,
Q103,✅ Approved,,
Q104,✅ Approved,,
Q105,✅ Approved,,
Q106,✅ Approved,,
Q107,✅ Approved,,
Q108,✅ Approved,,
Q109,✅ Approved,,
Q110,✅ Approved,,
Q111,✅ Approved,,
Q112,✅ Approved,,
Q113,✅ Approved,,
Q114,✅ Approved,,
Q115,✅ Approved,,
Q116,✅ Approved,,
Q117,📝 Typo (x2),"'negatively impact on' + 'and and functions'","→ 'negative impact on' + 'and functions'"
Q118,✅ Approved,,
Q119,✅ Approved,,
Q120,✅ Approved,,
Q121,📝 Typo,"'the follow will likely' in stem","→ 'the following will likely'"
Q122,✅ Approved,,
Q123,✅ Approved,,
Q124,✅ Approved,,
Q125,📝 Typo (x2),"'conversation of T4 to T3' + 'will ____ are needed'","→ 'conversion of T4 to T3' + 'while ____ are needed'"
Q126,✅ Approved,,
Q127,📝 Typo,"Sentence starts lowercase 'too little'","→ 'Too little' (capitalize)"
Q128,✅ Approved,,
Q129,✅ Approved,,
Q130,✅ Approved,,
Q131,✅ Approved,,
Q132,🔴 WRONG ANSWER KEY,"Most common cause of iron deficiency = excessive blood loss (option 1) NOT B12/folic acid deficiency (option 2). Also 'Execessive' → 'Excessive'","Change correct_answer from 2 to 1; fix typo"
Q133,✅ Approved,,
Q134,✅ Approved,,
Q135,✅ Approved,,
Q136,✅ Approved,,
Q137,✅ Approved,,
Q138,✅ Approved,,
Q139,✅ Approved,,
Q140,✅ Approved,,
Q141,✅ Approved,,
Q142,✅ Approved,,
Q143,✅ Approved,,
Q144,✅ Approved,,
Q145,✅ Approved,,
Q146,✅ Approved,,
Q147,✅ Approved,,
Q148,📝 Typo,"'Thryoid' in option 2","→ 'Thyroid'"
Q149,✅ Approved,,
Q150,✅ Approved,,
Q151,✅ Approved,,
Q152,✅ Approved,,
Q153,✅ Approved,,
Q154,✅ Approved,,
Q155,✅ Approved,,
Q156,✅ Approved,,
Q157,✅ Approved,,
Q158,✅ Approved,,
Q159,✅ Approved,,
Q160,✅ Approved,,
Q161,✅ Approved,,
Q162,✅ Approved,,
Q163,✅ Approved,,
Q164,✅ Approved,,
Q165,✅ Approved,,
Q166,✅ Approved,,
Q167,✅ Approved,,
Q168,✅ Approved,,
Q169,✅ Approved,,
Q170,✅ Approved,,
Q171,✅ Approved,,
Q172,✅ Approved,,
Q173,🔴 FACTUAL ERROR,"Answer says 'Diabetic neuropathy' but should be 'Diabetic nephropathy'. Neuropathy = nerve damage; nephropathy = kidney damage. CKD is caused by nephropathy.","Change option 2 text from 'Diabetic neuropathy' to 'Diabetic nephropathy'"
Q174,✅ Approved,,
Q175,🟡 Ambiguous + 📝 Typo,"Evening Primrose vs Chaste Tree for PMS+menopause debatable. Also: 'Oenthera biennis' → 'Oenothera biennis' and 'Leonurus cardiac' → 'Leonurus cardiaca'","Fix Latin binomials; flag for SME re: best answer"
