Q#,Question (truncated),Status,Issue,Confidence,Recommended Fix,Decision,Fixed By,Date Fixed
Q332,"All of the following stimulate appetite cravings and food intake, except:",🔴 WRONG,PYY is a satiety hormone not appetite stimulant - two correct answers (PYY and leptin),HIGH,Replaced Peptide YY with Neuropeptide Y in source + Supabase,FIXED,Dwight,2026-04-08
Q841,"All the following stimulate food intake, except:",🔴 WRONG,Duplicate of Q332 issue - PYY is satiety signal not appetite stimulant,HIGH,Replaced Peptide YY with Neuropeptide Y in source + Supabase,FIXED,Dwight,2026-04-08
Q333,"All of the following are components of pancreatic juice, EXCEPT:",🔴 WRONG,Both C (intrinsic factor) and D (pepsinogen) are NOT pancreatic - two correct answers,HIGH,Replaced pepsinogen with chymotrypsin in source + Supabase,FIXED,Dwight,2026-04-08
Q349,Which of the following increases gastric emptying?,🔴 WRONG,Pectin/gums/mucilage DELAY gastric emptying not increase it,HIGH,"Changed ""increases"" to ""delays"" in question text, source + Supabase",FIXED,Dwight,2026-04-08
Q811,Which of the following best describes herbal choleretics?,🔴 WRONG,Answer describes cholagogue not choleretic + duplicate options C/D,HIGH,"Fixed choleretic definition + added 4th distractor, source + Supabase",FIXED,Dwight,2026-04-08
Q109,Which foods is not a low oxalate vegetable?,🔴 WRONG,Arugula (B) is moderate-high oxalate - also not low oxalate,MODERATE-HIGH,Replaced Arugula with Cabbage in source + Supabase,FIXED,Dwight,2026-04-08
Q108,Which foods is not a high oxalate food?,🔴 CORRECTION,Green peppers (A) are low oxalate (~1-2mg/serving) - two valid answers,HIGH,Replace green peppers with spinach/rhubarb/sweet potatoes,CORRECTION RECOMMENDED,Ryan,2026-04-08
Q569,Not true re magnesium and BP,✅ RESOLVED,D is least true - sodium retention not a primary Mg-BP mechanism in standard refs,MODERATE-HIGH,Leave as-is - answer is pedagogically defensible,LEAVE AS-IS,Ryan,2026-04-08
Q610,Not appropriate for IBS?,🟡 AMBIGUOUS,Low fiber is recommended for IBS-D; question doesn't specify subtype,MODERATE,Add IBS subtype or rewrite to avoid low/high fiber both as options,AWAITING SME REVIEW,,
Q655,Not well supported for asthma?,🟡 AMBIGUOUS,Caffeine is a mild bronchodilator - coffee/tea may actually be supported,MODERATE,SME to confirm curriculum position on caffeine and asthma,AWAITING SME REVIEW,,
Q64,Not true re micronutrients for bone health?,✅ RESOLVED,B12 does NOT stimulate collagen production - that's Vitamin C. Claim is false.,HIGH,Leave as-is - answer is correct,LEAVE AS-IS,Ryan,2026-04-08
Q853,Deficient gastric acid secretion term,📝 TYPO,'Hyprochlorhydria' should be 'Hypochlorhydria',HIGH,"Fixed typo Hyprochlorhydria → Hypochlorhydria, source + Supabase",FIXED,Dwight,2026-04-08
Q788,Enzyme to break down protein in stomach,📝 TYPO,'Amlyase' should be 'Amylase',HIGH,"Fixed typo Amlyase → Amylase in 2 questions, source + Supabase",FIXED,Dwight,2026-04-08
Q740,False statement about holistic nutrition,📝 FORMAT,Options A and B have embedded 'a.' and 'b.' prefixes,HIGH,"Removed embedded a./b. prefixes, source + Supabase",FIXED,Dwight,2026-04-08
Q172,Impaired conversion of fat soluble vitamin,📝 STRUCTURAL,Vitamin E appears as both option B and D,HIGH,Replaced duplicate Vitamin E with Vitamin K in Supabase (source already clean),FIXED,Dwight,2026-04-08
Q811b,Choleretics question - options,📝 STRUCTURAL,Options C and D are identical,HIGH,Duplicate options resolved as part of Q811 fix,FIXED,Dwight,2026-04-08
Q0,Not an antioxidant?,✅ SOUND,Answer C (Alcohol dehydrogenase I) is correct - it's an enzyme not an antioxidant,HIGH,,,,
Q10,Not high in pectin?,✅ SOUND,Grassfed beef correct - not a pectin source,HIGH,,,,
Q12,Which is false?,✅ SOUND,Protocol should not start with supplementation - diet first,HIGH,,,,
Q13,Not a component of holistic nutrition?,✅ SOUND,Food Pyramid is not a holistic nutrition component,HIGH,,,,
Q15,Herbs for adrenal/stress support?,✅ SOUND,Adaptogens correct,HIGH,,,,
Q28,Not a source of all essential amino acids?,✅ SOUND,Broccoli correct - incomplete protein,HIGH,,,,
Q41,Not one of 9 main allergens?,✅ SOUND,Meat/vegetables/seeds correct,HIGH,,,,
Q69,Not a portion control strategy?,✅ SOUND,Intermittent fasting correct - not portion control per se,HIGH,,,,
Q92,Not a category of unsaturated fats?,✅ SOUND,Diunsaturated correct - not a real category,HIGH,,,,
Q147,Not an artificial sweetener?,✅ SOUND,Monk fruit is natural not artificial,HIGH,,,,
Q158,Not a simple sugar?,✅ SOUND,Polysaccharide correct - it's complex,HIGH,,,,
Q161,Fermentation of fiber does NOT produce?,✅ SOUND,Ammonia correct - fiber fermentation produces SCFAs and gases not ammonia,HIGH,,,,
Q168,Cardiac risk factor ratios?,✅ SOUND,Both TC/HDL and LDL/HDL ratios correct,HIGH,,,,
Q169,Not true re fat soluble vitamins?,✅ SOUND,C describes water-soluble vitamin behavior,HIGH,,,,
Q170,Not true re RDA?,✅ SOUND,RDAs are population-level estimates not individualized,HIGH,,,,
Q239,Artichokes good for which population?,✅ SOUND,Type 2 Diabetes correct - inulin/blood sugar connection,HIGH,,,,
Q250,Intestinal antispasmodic?,✅ SOUND,Fennel correct,HIGH,,,,
Q268,Gut microbiota imbalance term?,✅ SOUND,Dysbiosis correct,HIGH,,,,
Q281,Not an antioxidant?,✅ SOUND,Calcium/B12/aspartame correct,HIGH,,,,
Q339,Hepatic portal vein statement?,✅ SOUND,"False correct - blood goes through hepatic portal vein THEN to liver THEN hepatic vein to heart, not directly to heart",HIGH,,,,
Q351,Not an essential fatty acid?,✅ SOUND,Arachidonic acid correct - conditionally essential/derived from linoleic,HIGH,,,,
Q353,Not a sulfur-containing amino acid?,✅ SOUND,Threonine correct - no sulfur group,HIGH,,,,
Q365,Redistribution of water condition?,✅ SOUND,Edema correct,HIGH,,,,
Q370,Not a function of protein?,✅ SOUND,All listed are protein functions - D correct,HIGH,,,,
Q374,Amino acid not involved in neurotransmission?,✅ SOUND,Leucine correct - BCAA not a neurotransmitter precursor,HIGH,,,,
Q413,Cofactor for 200+ enzymes absorbed via ZIP4?,✅ SOUND,Zinc correct,HIGH,,,,
Q421,Not true re MNT?,✅ SOUND,HNPs are not licensed in states - correct,MODERATE,,,,
Q439,Not true about NANP Code of Ethics?,✅ SOUND,Cannot use BCHN without approval correct,HIGH,,,,
Q466,Enhance self-efficacy?,✅ SOUND,All of the above correct,HIGH,,,,
Q469,Role of nutrition counselor in PA guidance?,✅ SOUND,All of the above correct,HIGH,,,,
Q533,Not appropriate for chemo client?,✅ SOUND,Intermittent fasting correct,HIGH,,,,
Q559,Food not triggering anxiety via lactic acid?,✅ SOUND,Eggs correct,HIGH,,,,
Q564,Not appropriate for elevated cholesterol?,✅ SOUND,Sweet tea correct,HIGH,,,,
Q578,Not supported for constipation?,✅ SOUND,2.0 g/kg protein correct - excessive and not constipation treatment,HIGH,,,,
Q587,Not supported for gallstone prevention?,✅ SOUND,Large amounts of whole milk correct,HIGH,,,,
Q601,Not true re blood pressure?,✅ SOUND,Sodium should be avoided is oversimplified - restriction alone doesn't lower BP in most,HIGH,,,,
Q604,Food not triggering hives?,✅ SOUND,Nightshade/cruciferous correct - not typical histamine triggers,HIGH,,,,
