D2_Index,Question_Text_Truncated,Status,Issue_Type,Issue_Detail
D2-Q0,Which condition is characterized by the backward flow of stomach acid into the esophagus?,APPROVED,,
D2-Q1,Which condition is characterized by abdominal pain boating altered bowel habits?,TYPO,TYPO,"'boating' → 'bloating' in question stem"
D2-Q2,Which condition is characterized by chronic inflammation of the digestive tract?,APPROVED,,
D2-Q3,Which condition is primarily due to a lack of enzymes needed to break down a specific food?,APPROVED,,
D2-Q4,A true allergic reaction to food will produce symptoms how quickly after ingestion?,APPROVED,,
D2-Q5,Which of the following is a condition that interferes with the absorption of nutrients?,APPROVED,,
D2-Q6,Which one of the following plays a key role in the absorption of fats and fat soluble vitamins?,APPROVED,,
D2-Q7,Imbalances in the gut microbiome can impact which of the following?,APPROVED,,
D2-Q8,Which term describes an imbalance or disruption in the diversity of the gut microbiota?,APPROVED,,
D2-Q9,The process by which the body neutralizes and eliminates toxins and harmful substances,APPROVED,,
D2-Q10,Which phase of detoxification involves activation and conversion through cytochrome P450?,APPROVED,,
D2-Q11,Which phase of detoxification involves conjugation with glutathione amino acids or sulfate?,APPROVED,,
D2-Q12,Which of the following enzymes are involved in detoxification?,APPROVED,,
D2-Q13,Biotransformation refers to biochemical reactions to transform and eliminate xenobiotics,APPROVED,,
D2-Q14,Which phase of Detoxification involves the activation and conversion of compounds?,APPROVED,,
D2-Q15,Imbalances in which phase of detoxification primarily results in reactive intermediates?,APPROVED,,
D2-Q16,Which phase involves conjugation with endogenous molecules making them more water-soluble?,APPROVED,,
D2-Q17,Methylation is an essential process involved in numerous biochemical reactions,STRUCTURAL,OPTION3,"'Option 3' placeholder in T/F question"
D2-Q18,Which type of reactions involve the transfer of electrons between molecules?,APPROVED,,
D2-Q19,Which occurs when there is an imbalance between ROS production and antioxidant capacity?,APPROVED,,
D2-Q20,Highly reactive molecules generated as natural byproducts of cellular metabolism,APPROVED,,
D2-Q21,Which of the following is not an examples of an antioxidant?,TYPO,TYPO,"'not an examples' → 'not an example'"
D2-Q22,The powerhouse of cells that generate energy through oxidative phosphorylation,APPROVED,,
D2-Q23,Chemical messengers that regulate numerous bodily functions,APPROVED,,
D2-Q24,Which of the following are the primary thyroid hormones?,APPROVED,,
D2-Q25,Imbalances in which hormones primarily contribute to fertility issues?,APPROVED,,
D2-Q26,In a healthy individual which hormone is elevated in the morning and decreases?,APPROVED,,
D2-Q27,Which hormone is elevated when there is a drop in blood sugar?,APPROVED,,
D2-Q28,Which hormone signals cells to open up and take in glucose?,APPROVED,,
D2-Q29,Chemical messengers that facilitate communication between nerve cells,APPROVED,,
D2-Q30,Which neurotransmitters originates from the tryptophan pathway?,TYPO,TYPO,"'neurotransmitters originates' → 'neurotransmitter originates'"
D2-Q31,Which neurotransmitter originates from the tyrosine pathway?,APPROVED,,
D2-Q32,Which neurotransmitters helps to calm the nervous system?,TYPO,TYPO,"'neurotransmitters helps' → 'neurotransmitter helps'"
D2-Q33,Which neurotransmitter excites the nervous system?,APPROVED,,
D2-Q34,Provides structural support connect different body parts and facilitate nutrient exchange,APPROVED,,
D2-Q35,Dysregulation in synthesis can lead to weakened connective tissues join instability,TYPO,TYPO,"'join instability' → 'joint instability'"
D2-Q36,Which system includes bones muscles tendons ligaments and joints?,APPROVED,,
D2-Q37,On the pH scale values below 7 are considered basic,STRUCTURAL,OPTION3,"'Option 3' placeholder in T/F question"
D2-Q38,On the pH scale values below 7 are considered acidic,STRUCTURAL,OPTION3,"'Option 3' placeholder in T/F question"
D2-Q39,Which number on the pH scale is considered neutral?,APPROVED,,
D2-Q40,What term describes the cells ability to maintain a constant and steady internal environment?,APPROVED,,
D2-Q41,How many sodium ions are pumped out for every two potassium ions pumped in?,APPROVED,,
D2-Q42,What compounds protect against cellular damage caused by free radicals?,APPROVED,,
D2-Q43,What part of the cell is responsible for producing the majority of energy?,APPROVED,,
D2-Q44,Which of the following is a key component of a cancer preventing lifestyle?,APPROVED,,
D2-Q45,Which bodily organ plays the primary role in detoxification?,APPROVED,,
D2-Q46,Which phase includes conjugation where a protective compound binds a toxin?,APPROVED,,
D2-Q47,What organ manufactures bile needed to break down fats during digestion?,APPROVED,,
D2-Q48,Which organ secretes enzymes such as lipase protease and amylase?,APPROVED,,
