D3-Q#,Topic,Type,Status,Issue,Fix
Q1,Scope of Practice,true_false,✅ Approved,,
Q2,Scope of Practice,multiple_choice,✅ Approved,,
Q3,Scope of Practice,true_false,✅ Approved,,
Q4,Scope of Practice,true_false,✅ Approved,,
Q5,Scope of Practice,true_false,✅ Approved,,
Q6,Scope of Practice,true_false,✅ Fixed,"'herb and advise' — missing plural","→ 'herbs and advise'"
Q7,Scope of Practice,true_false,✅ Approved,,
Q8,Scope of Practice,true_false,✅ Approved,,
Q9,Scope of Practice,true_false,✅ Approved,"Oversimplified RD characterization but matches curriculum intent",
Q10,Scope of Practice,multiple_choice,✅ Approved,,
Q11,Scope of Practice,multiple_choice,✅ Approved,,
Q12,Scope of Practice,multiple_choice,✅ Fixed,"'Option 3' placeholder in T/F-style question","Remove 'Option 3' — should be True/False only"
Q13,Scope of Practice,multiple_choice,✅ Approved,,
Q14,Scope of Practice,multiple_choice,✅ Approved,,
Q15,Scope of Practice,true_false,✅ Approved,,
Q16,Scope of Practice,multiple_choice,✅ Approved,,
Q17,Scope of Practice,multiple_choice,✅ Approved,,
Q18,Scope of Practice,multiple_choice,✅ Approved,,
Q19,Scope of Practice,true_false,✅ Approved,,
Q20,Scope of Practice,multiple_choice,✅ Approved,,
Q21,Scope of Practice,multiple_choice,✅ Approved,,
Q22,Scope of Practice,multiple_choice,✅ Approved,,
Q23,Scope of Practice,multiple_choice,✅ Approved,,
Q24,Scope of Practice,multiple_choice,✅ Approved,,
Q25,Scope of Practice,multiple_choice,✅ Approved,,
Q26,Scope of Practice,true_false,✅ Fixed,"'fine unlikely to be productive' — missing 'is'","→ 'fine is unlikely to be productive'"
Q27,Scope of Practice,multiple_choice,✅ Fixed,"'is resistance to change' — wrong word form","→ 'is resistant to change'"
Q28,Scope of Practice,multiple_choice,✅ Approved,,
Q29,Scope of Practice,multiple_choice,✅ Approved,,
Q30,Scope of Practice,multiple_choice,✅ Approved,,
Q31,Scope of Practice,multiple_choice,✅ Approved,,
Q32,Scope of Practice,multiple_choice,✅ Approved,,
Q33,Scope of Practice,multiple_choice,✅ Approved,,
Q34,Scope of Practice,multiple_choice,✅ Approved,,
Q35,Counseling,multiple_choice,✅ Approved,,
Q36,Counseling,multiple_choice,✅ Fixed,"CBT described as 'focused on changing the environment' — CBT is primarily cognitive/thought-focused; stimulus control or environmental restructuring is the better fit for 'changing the environment'. Other options worse though.","LOW risk — consider rewording stem to 'changing harmful behaviors' or accept as curriculum-specific"
Q37,Counseling,multiple_choice,✅ Approved,,
Q38,Counseling,multiple_choice,✅ Approved,,
Q39,Counseling,multiple_choice,✅ Approved,,
Q40,Counseling,multiple_choice,✅ Approved,,
Q41,Counseling,multiple_choice,✅ Approved,,
Q42,Counseling,multiple_choice,✅ Approved,,
Q43,Counseling,multiple_choice,✅ Approved,,
Q44,Counseling,multiple_choice,✅ Fixed,"'Reflective listening' listed as nonverbal behavior — reflective listening is a VERBAL technique (paraphrasing what client said). Eye contact and posture are nonverbal; reflective listening is not.","Replace 'Reflective listening' with 'Facial expressions' or 'Head nodding' to keep answer 'All correct'"
Q45,Counseling,true_false,✅ Approved,,
Q46,Counseling,multiple_choice,✅ Approved,,
Q47,Counseling,multiple_choice,✅ Approved,,
Q48,Counseling,multiple_choice,✅ Approved,,
Q49,Counseling,multiple_choice,✅ Approved,,
Q50,Counseling,multiple_choice,✅ Approved,,
Q51,Counseling,multiple_choice,✅ Approved,,
Q52,Counseling,multiple_choice,✅ Approved,,
Q53,Counseling,multiple_choice,✅ Approved,,
Q54,Counseling,multiple_choice,✅ Approved,,
Q55,Counseling,multiple_choice,✅ Approved,,
Q56,Counseling,multiple_choice,✅ Fixed,"'more like to make' — missing 'ly'","→ 'more likely to make'"
Q57,Counseling,multiple_choice,✅ Approved,,
Q58,Counseling,multiple_choice,✅ Approved,,
Q59,Counseling,multiple_choice,✅ Approved,,
Q60,Counseling,multiple_choice,✅ Approved,,
Q61,Counseling,multiple_choice,✅ Approved,,
Q62,Counseling,multiple_choice,✅ Approved,,
Q63,Counseling,multiple_choice,✅ Approved,,
Q64,Counseling,multiple_choice,✅ Approved,,
Q65,Counseling,multiple_choice,✅ Approved,,
Q66,Counseling,multiple_choice,✅ Fixed,"'is a key components' — singular/plural mismatch","→ 'is a key component'"
Q67,Counseling,multiple_choice,✅ Approved,,
Q68,Counseling,multiple_choice,✅ Approved,,
Q69,Counseling,multiple_choice,✅ Approved,,
Q70,Counseling,multiple_choice,✅ Approved,,
Q71,Counseling,multiple_choice,✅ Approved,,
Q72,Counseling,multiple_choice,✅ Approved,,
Q73,Counseling,multiple_choice,✅ Approved,,
Q74,Counseling,multiple_choice,✅ Approved,"Note: 5 domains listed are specifically nutrition ASSESSMENT domains not NCP steps — but answer is clearly best",
Q75,Counseling,multiple_choice,✅ Approved,,
Q76,Counseling,multiple_choice,✅ Approved,,
Q77,Counseling,multiple_choice,✅ Approved,,
Q78,Counseling,multiple_choice,✅ Approved,,
Q79,Counseling,multiple_choice,✅ Approved,,
Q80,Counseling,multiple_choice,✅ Approved,,
Q81,Counseling,multiple_choice,✅ Approved,,
Q82,Counseling,multiple_choice,✅ Approved,,
Q83,Counseling,multiple_choice,✅ Approved,,
Q84,Counseling,multiple_choice,✅ Approved,,
Q85,Counseling,multiple_choice,✅ Fixed,"'identify a barriers' — article/plural mismatch","→ 'identify barriers'"
Q86,Counseling,multiple_choice,✅ Approved,,
Q87,Counseling,multiple_choice,✅ Approved,,
Q88,Counseling,multiple_choice,✅ Approved,,
Q89,Counseling,multiple_choice,✅ Approved,,
Q90,Counseling,multiple_choice,✅ Approved,,
Q91,Counseling,multiple_choice,✅ Approved,,
Q92,Counseling,multiple_choice,✅ Approved,,
Q93,Counseling,multiple_choice,✅ Approved,,
Q94,Counseling,multiple_choice,✅ Approved,,
Q95,Counseling,multiple_choice,✅ Approved,,
Q96,Counseling,multiple_choice,✅ Approved,,
Q97,Comprehensive,multiple_choice,✅ Approved,,
Q98,Comprehensive,multiple_choice,✅ Approved,,
Q99,Comprehensive,multiple_choice,✅ Approved,,
Q100,Comprehensive,multiple_choice,✅ Approved,,
Q101,Comprehensive,multiple_choice,✅ Approved,,
Q102,Comprehensive,multiple_choice,✅ Approved,,
Q103,Comprehensive,multiple_choice,✅ Approved,,
Q104,Comprehensive,multiple_choice,✅ Approved,,
Q105,Comprehensive,multiple_choice,✅ Approved,,
Q106,Comprehensive,multiple_choice,✅ Approved,,
Q107,Comprehensive,multiple_choice,✅ Approved,,
Q108,Comprehensive,multiple_choice,✅ Approved,,
Q109,Comprehensive,multiple_choice,✅ Approved,,
Q110,Comprehensive,true_false,✅ Approved,"'do nothing' is oversimplified but tests stage-of-change concept correctly",
Q111,Comprehensive,true_false,✅ Approved,,
Q112,Comprehensive,multiple_choice,✅ Fixed,"'behavior medication' — wrong word","→ 'behavior modification'"
